ISBN-10,ISBN-13,タイトル,著者,出版社,出版日,書齢,定価,価格（新品）,在庫数（新品）,価格（非常によい）,在庫数（非常によい）,価格（良い）,在庫数（良い）,価格（キズや使用感あり）,在庫数（キズや使用感あり）,内容,ジャンル,言語,本の長さ,版型
"4887063660","9784887063662","中村好文 集いの建築、円いの空間","中村好文 著,雨宮秀也 写真","TOTO出版","2017-05-24","8年","2750","","","1623","1","","","1156","1","中村好文作品集、待望の第3弾！ギャラリー、ショップ、カフェ等、人びとが集う作品を収録。巻頭に小説家・松家仁之氏の寄稿文を掲載。","建築","","252","A5"
"488706375X","9784887063754","田根剛アーキオロジーからアーキテクチャーへ","田根剛 著,瀧口範子 著","TOTO出版","2018-10","7年","1100","","","444","2","","","","","エストニア国立博物館、新国立競技場案　古墳スタジアムなど、今、世界から最も注目される日本の若手建築家の独占インタビュー。","建築","","94","B6"
"4887063792","9784887063792","共感・時間・建築 (TOTO建築叢書)","","TOTO出版","2019-04","6年","1650","","","","","","","","","これからの建築が進む先とは。建築をリードする若手建築家の取り組みの背景を検証し、現代の建築家がもつべき時代認識を示す。","建築","","157","B6"
"4887063814","9784887063815","建築のそれからにまつわる5本の映画","中山英之 著","TOTO出版","2019-05","6年","3630","","","","","","","","","建築家の手を離れ、住み手による「建築のそれから」の時間と、中山英之の建築へのこだわりが詰まった映画パンフレットのような作品集。","建築","","167","B5"
"4887063822","9784887063822","アーキテクテン・デ・ヴィルダー・ヴィンク・タユー建築作品集","アーキテクテン・デ・ヴィルダー・ヴィンク・タユー 著","TOTO出版","2019-09-12","6年","3190","","","","","","","","","2018ヴェネチア・ビエンナーレ国際建築展で銀獅子賞を受賞し、世界の注目が集まるベルギー若手建築家ユニットADVVT作品集","建築","jpn","360","B6"
"4887063830","9784887063839","Adaptation","増田信吾 著,大坪克亘 著","TOTO出版","2020-01-21","6年","3300","","","","","","","","","2人組の若手建築家、増田信吾＋大坪克亘初の作品集。本当に設計すべき部分を見極め追求する彼ら独自の設計姿勢が読み取れる一冊。","建築","","175","A4"
"4887063865","9784887063860","ふるまいの連鎖：エレメントの軌跡","門脇耕三 監修","TOTO出版","2020-08-05","5年","1650","","","","","","","","","ヴェネチア・ビエンナーレ国際建築展日本館カタログ。日本の木造住宅をヴェネチアで別の姿につくり直す。それは新旧の材料と創造性が重層したキメラ的な混成物であり、その生成のプロセスそのものである。","建築","","206","B5"
"4887063881","9784887063884","国立代々木競技場と丹下健三 (TOTO建築叢書)","豊川斎赫 著","TOTO出版","2021-03-04","4年","1760","","","","","","","805","1","丹下健三が設計し、世界遺産登録を目指す国立代々木競技場について、社会学から建築史まで、さまざまな視点で縦横に論じた一冊。","建築","","260","46"
"4887063903","9784887063907","大地の建築 アンサンブル・スタジオ","アンサンブル・スタジオ 著,アントン・ガルシア・アブリル 著,デボラ・メサ 著","TOTO出版","2021-06-08","4年","3300","","","","","","","","","スペインとアメリカを拠点に活躍する建築家ユニット。地球規模の視点と自然と響きあうような力強い造形、独自の工法を軸に、建築の可能性を追求する建築家の、日本初の作品集。「大地の建築」をテーマに、リサーチ・設計・建設プロセスを写真、図版、テキストで分かりやすく紹介された1冊。寄稿に、西沢立衛氏、写真にイワン・バーン氏他。スペインとアメリカを拠点に活躍する建築家ユニット。地球規模の視点と自然と響きあうような力強い造形が特徴的。","建築","jpn","202","B5"
"4887063970","9784887063976","SUEP． 10 Stories of Architecture on Earth","末光弘和 著,末光陽子 著","TOTO出版","2022-06-20","3年","3850","","","","","","","","","SUEP.は、2003年の設立以来、「自然との共生」をテーマにした設計活動を行ってきた建築家ユニット。人のためだけでもなく、地球のためだけでもない、両者にとって幸せな建築とはどのようなものなのか。SUEP.が関わってきた10の建築プロジェクトをストーリーに見立て、彼らの思考の軌跡を紹介する。建築作品だけでなく、そこに至るまでのリサーチやスタディの数々が、地球の未来について考える手がかりになる。自然との共生をテーマに活動する建築家ユニットのSUEP.が、10の建築プロジェクトをストーリーに見立て思考の軌跡を紹介する。","建築","jpn","400","A5"
